C1400|Hallmark Cards
Z5100|House Republican Campaign Cmte
A1500|Missouri Corn Growers Assn
Z5300|Working Families Party of Oregon
|RIGHTON PAC                                       
|DANY LAPORTE COMMITTEE                            
J1200|America's Families First Action Fund
E1500|Southwest Iowa Renewable Energy
|GOVSAT PAC                                        
|DANET FOR CONGRESS                                
J1200|Blue America PAC IE Cmte
Z1100|Dan Maloney for Congress
|COMMITTEE TO ELECT LES TOWNSEND                   
J9000|Gold & Silver PAC
|AMERICAN CITIZEN PARTY POLITICAL ACTION COMMITTEE 
|IF YOU BELIEVE PAC                                
J2200|Reaching for a Brighter America PAC
|DIVINE TRANQUILITY                                
|OHIO TITLE CORP/THE REAL ESTATE GROUP LLC FEDERAL 
E1150|National Stripper Well Assn
|SAVE OUR SOCIETY PAC (SOS-PAC)                    
|JARRETT4HAWAII                                    
J2200|CANDICE-PAC
|SICARD FOR CONGRESS                               
J2100|Strengthen America PAC
|PETER DESTEFANO FOR CONGRESS                      
LT100|Netjets Assn of Shared Aircraft Pilots
J1100|Leaders of Tomorrow PAC
J9000|American Legacy PAC
|BLACK PAC; THE                                    
A1300|General Cigar Co
H1400|American Dental Assn
J7400|Tri-state Maxed Out Women
J1100|Texas Tea Party Patriots PAC
Z4100|Keystone Majority Fund
J1200|Citizens for Strength & Security
J4000|Concerned Taxpayers of America
J1100|ActRight
LC100|Communications Workers of America
J1100|New Prosperity Foundation
|SPEAK OUT FOR AMERICA PAC                         
|
|ALASKA HERITAGE PAC                               
|CENTER; THE                                       
|DEMAND PROGRESS                                   
|FRIENDS OF JAMES GREY 2012                        
R|COMMITTEE FOR JIM HARRELL
|BILL MARCY FOR CONGRESS                           
F4200|National Assn of Realtors
J1100|Citizens for a Working America PAC
C5130|West Corp
|SPEECHNOW.ORG                                     
|FEDERAL OFFICE REPUBLICANS OF NEW YORK (FORNY PAC)
F1100|US Bancorp
|ROSSI VICTORY COMMITTEE                           
|ANDY MARTIN CAMPAIGN COMMITTEE                    
G2500|Wakefern Food Corp
G0000|International Liquid Terminals Assn
T4000|vRide Inc
J2200|Jeff PAC
|YINKA ABOSEDE ADESHINA                            
LE100|United Mine Workers of America Power PAC
J9000|New Power PAC
|FAIR TAXES FOR AMERICA PAC INC                    
E1500|Sunrun Inc
E1500|SunEdison
J2200|Wild & Wonderful PAC
|CARTER FOR SENATE                                 
|ALASKANS STANDING TOGETHER                        
H3200|American Kidney Stone Management
J2200|Building Leadership & Inspiring New Enterprise
J3000|Trade Brigade of Citizens Trade Campaign
H1100|Westmed Medical Group
E1140|Markwest Energy Partners
J1200|College Democrats of Massachusetts
|WRITE IN JEFF REED FOR CONGRESS                   
E1500|First Solar
|ORIGINAL NORTH PHOENIX TEA PRTY PAC INC           
|AMERICANS DON'T WANT TEA                          
C2700|National Assn of Theatre Owners
J1100|Campaign for American Values
J1110|Faith Family Freedom Fund
|ACCOUNTABILITY 2010                               
J7700|Vote Kids Action Fund
|IOWA FIRST FOUNDATION FEDERAL PAC                 
J1100|Super PAC for America
J7150|Planned Parenthood Votes
J9000|Restore America's Voice
L1300|NEA Advocacy Fund
Z5100|North Sonoma County Republican Club
J2100|New Economy PAC
J4000|Ending Spending Action Fund
|CONSUMER ADVOCATES FOR REAL ECONOMIC STRENGTH     
J7500|Turkish Coalition California
J2200|Funding Developing Leadership PAC
|PROTECT ALASKA'S FUTURE                           
G5270|Alvarez & Marsal
|GRAND CANYON STATE LEADERSHIP FUND                
|MBDA INCORPORATED POLITICAL ACTION COMMITTEE      
J1100|Restore Our Future
|SAVAS T KYRIAKIDIS FOR CONGRESS                   
|COMMITTEE TO ELECT DAN W ROZELLE PRESIDENT        
|THE LINCOLN CLUB OF ORANGE COUNTY FEDERAL IE COMMI
J1200|Working Families For Hawaii
J2200|Georgia PAC
J1100|Empowerment PAC
|WOOTON FOR US SENATE                              
|NAPOLITANO FOR COLORADO                           
Z4100|Isakson Victory Cmte
J4000|Grow PAC
|MAC PAC WV                                        
LH100|National Nurses United
|OHIO STATE TEA PARTY; THE                         
|EMERGENCY COMMITTEE FOR ISRAEL PAC                
|JOE HARDING 4 CONGRESS                            
E1120|Bill Barrett Corp
|MOVING NH FORWARD                                 
F0000|Insured Retirement Institute
Z1200|Committee to Elect Vanessa McGee Smith Kearney
J1100|Llano Tea Party
LG000|Seafarers Entertainment & Allied Trades
H1100|Association of Physicians of Indian Origin
Z5200|Tompkins County Democratic Cmte
|US ISRAEL FRIENDSHIP PAC                          
|STANDUPRED                                        
G1000|Competitive Carriers Assn
|JEFF BOSS FOR SENATE 2012                         
J1100|RGA Right Direction
|LATINOS FOR REFORM                                
|BERKEBILE NELSON IMMENSCHUH MCDOWELL INCORPORATED 
LB100|Working for Working Americans
|PATRIOTS FUND                                     
E1500|Everpower Wind Holding
|CHINESE AMERICAN LEADERSHIP POLITICAL ACTION COMMI
T8200|National Assn of Trailer Manufacturers
|TRUTH FOR WASHINGTON                              
|21ST CENTURY PROGRESS PAC                         
R|COMMITTEE TO ELECT R. KENNETH JONES
J2200|Lead Your Nation Now PAC
J1200|Davis Democratic Club
|COMMITTEE TO ELECT GREG ''NO BULL'' KNOTT         
|COMMITTEE TO ELECT MICHAEL CAVLAN; THE            
|LUNDBECK LLC EMPLOYEE POLITICAL ACTION COMMITTEE  
|RESTORE THE DREAM PAC                             
J2100|Common Sense Democrat PAC
|THE TRUTH SQUAD                                   
A6500|Virginia Farm Bureau
J2200|BudgetHawks.com
J2200|Lincoln PAC
Z1100|Bill Lawrence for Congress
J1100|Oregon Tea Party
|REPUBLICAN INDIAN COMMITTEE PAC                   
J1100|Tea Party Victory Fund
|COMMITTEE TO EXPLORE ELECTING DAN MORENOFF TO CONG
J7500|Southern California Armenian Democrats
|ARISTOTLE INTERNATIONAL INC. POLITICAL ACTION COMM
Z1100|Steve Daines for Montana
J1200|Harry S. Truman Club
J1100|America's Next Generation
|COMMITTEE TO ELECT JIM RUNDBERG                   
A1500|North Carolina Soybean Producers Assn
|KENFORCONGRESSMAN                                 
|GRANITE OATH PAC                                  
|JOHN R HOELZEL JR FOR PRESIDENT OF THE UNITED STAT
K1000|Ward & Smith P.A.
|BLACK CLERGY PAC                                  
Z1100|Steelman for US Senate
|DRAFT SARAH PALIN                                 
H3900|Amerinet
G1000|Fur Information Council of America
|GEP ADMINISTRATIVE SERVICES
K1000|Natl Assn of Retail Collection Attorneys
|STAR PARKER PAC                                   
|UNITED STATES CENTER FOR AFRICAN PROGRESS PAC     
J2200|Citizens for Prosperity in America Today
|JIM RILEY FOR CONGRESS                            
E5000|Ohio Rural Water Assn
F5100|Reznick Group
|DEMOCRATIC NJ COMMITTEE                           
|CITIZENS ALLIANCE FOR BETTER CANDIDATES           
|DEMINT WATCH DRAFT COMMITTEE                      
J1200|Naturally Blue PAC
|ARAGON FOR PRESIDENT 2012                         
J2200|Freedom Matters PAC
|KEEFE
J2100|Common Sense Colorado
F2100|Nomura Holding America
|JESUS POLITICAL ACTION COMMITTEE                  
J2200|Cajun PAC
|TUBBS4PRESIDENT2012                               
J2100|American Defense & Military PAC
J1100|Lank PAC
J2100|Hoosiers First PAC
H1100|Cooperative of American Physicians
J1100|American Pride PAC
G2000|Organic Trade Assn
J1200|American Bridge 21st Century
G2900|Buffalo Wild Wings
J2100|Committee to Strengthen America
|PEOPLE FOR DAVID A LARSON                         
J1100|Christine PAC
M2300|General Electric
Z1100|Friends of Mike H
J1200|Dem Cd Congress Central Valley
J1100|Grassroots East
|INGERSOLL RAND COMPANY POLITICAL ACTION COMMITTEE 
Z1200|Nicholas Ruiz III for Congress
|LOUIS DREYFUS COMMODITIES LLC POLITICAL ACTION COM
Z4200|Nancy Pelosi Victory Fund
T6200|New York Shipping Assn
|MICHAEL J MANLEY FOR PRESIDENT 2012               
Z1100|Gardner for Senate
Z1100|Kreegel for Congress
|SPIRIT OF 1854 COMMITTEE TO ELECT DAVE ANDERSON   
|FREEDOM PATH ACTION NETWORK                       
G2900|N American Assn of Subway Franchisees
J1200|America Votes Action Fund
J2200|Liberty & Prosperity PAC
3|DENAME
|PHYSICIANS FOR A BETTER HEALTHCARE FUTURE         
Z1200|Bob Massie for US Senate
J5100|American Principles
|AMERICAN CLARITY AND EXCEPTIONALISM (ACEPAC)      
J1200|Progressive Kick
|LEVINSON FOR PRESIDENT 2012                       
B4000|Willbros Group
Z1200|Friends of Chris Murphy
|RIVERSIDE COUNTY PROGRESSIVE POLITICAL ACTION COMM
|AIRBORN
|HONEST GOVERNMENT PAC                             
|RAMOS FOR AMERICA                                 
|JOHN DUMMETT FOR PRESIDENT COMMITTEE              
J5000|United States Cuba Now PAC
Z1100|Ted Cruz for Senate
|ROGER GOODMAN FOR CONGRESS                        
J2200|Chesapeake PAC
|1816 GROUP; THE                                   
J2200|Marlin PAC
|TIM KALEMKARIAN P16 COMMITTEE                     
|NYREN FOR CONGRESS                                
|JIMMY MCMILLAN 2012 COMMITTEE                     
|ANDY MARTIN CAMPAIGN COMMITTEE                    
J2100|Nutmeg PAC
Z1200|Blumenthal for Connecticut
Z1100|Montanans for Rehberg
Z1200|Janice Hahn for Congress
D2000|Wyle Laboratories
Z4100|Kline Victory Cmte
J2200|Dakota PAC
Z1200|Petersen for Congress
|DEBRA BOWEN FOR CONGRESS                          
|THE GUARDIAN FUND                                 
J2200|Taxpayers Incensed By Government Excess
Z1200|Atkinson for Congress
|COMMITTEE FOR CHARLOTTE/CHARLOTTE DNC HOST COMMITT
J9000|Montana Hunters & Anglers Leadership Fund
B5000|Lehigh Hanson
F3300|Prudential Financial
G1200|S Corp Assn
|912 PROJECT TENNESSEE VICTORY FUND                
J2200|Razor PAC
Z1100|Abel Maldonado for Congress
Z1100|Mark Greenberg for Congress
J2200|Kelly PAC
|BILL ENGLISH FOR SENATE                           
|GRAYSON GREEN PARTY FOR SENATOR                   
Z5100|18th District Republican Central Cmte
|COALITION OF AMERICANS FOR POLITICAL EQUALITY     
|VSP HOLDING COMPANY INC POLITICAL ACTION COMMITTEE
|GLOBAL DIASPORA PAC INCORPORATED; THE             
Z4100|Darrell Issa Victory Fund
F3300|Metlife Inc
Z4100|Conaway Majority Fund
|MARK CONTRERAS FOR CONGRESS                       
|EQUALITY CALIFORNIA FEDERAL PAC                   
Z4100|Friends of John Hoeven
Z1200|Russ Carnahan for Congress
J2100|Blue Hen PAC
|CARMEN'S LIST                                     
Z4100|Freshman Agricultural Republican Members
J2200|Keeping Republican Ideas Strong Timely
Z1200|Friends of Patrick Murphy
J1100|GPS Conservatives for Action
|ERIC MALONEY FOR CONGRESS                         
J1100|PA Prosperity Fund PAC
|FRIENDS OF DAVID BELLAVIA                         
J2200|Reinventing a New Direction
|LONG BEACH LAMBDA DEMOCRATIC CLUB                 
H4100|Masimo Corp
|KEVIN NELSON 2012                                 
J1100|Arizona Liberty Project PAC
G1000|Risk & Insurance Management Society
J1110|CatholicVote.org
J2100|Gene PAC
M7000|Reusable Industrial Packaging Assn
Z1200|Dan Roberti for Congress
J2100|Jobs & Innovation Matter PAC
J2200|Partnership for America
|MODICA FOR SENATE                                 
Z1200|Friends of Elizabeth Esty
|MERITAGE HOMES CORPORATION PAC                    
Z1100|Heller for Senate
A1500|Ohio Corn & Wheat Growers Assn
A1500|Ohio Soybean Assn
|BETTER REPRESENTATION                             
J2200|Lead Encourage Elect PAC
|FIGHTING FOR EDUCATION                            
J1200|Together PAC
Z4100|Ryan Prosperity Action
Z4100|Harper Majority Fund
|ATLANTIC TELE-NETWORK POLITICAL ACTION COMMITTEE  
|POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK ME
J2200|Conservatives Organized to Advance Tmrw
Z4100|Monday Meeting PAC
Z1100|Ted Yoho for Congress
|NIZ KAMAL FOR CONGRESS                            
Z4100|Rubio Victory Cmte
|ROBERT LEE SENATOR                                
Z4100|Roskam Victory Cmte
F5000|McGraw Hill Financial
|STEVE COLLETT FOR CONGRESS                        
J2200|America's Future Fund PAC
|ABM INDUSTRIES INCORPORATED PAC                   
J1200|My America
|JARED BLANKENSHIP FOR PRESIDENT                   
|FRIENDS OF BRIANNE MURPHY                         
Z1200|Lois Frankel for Congress
Z1100|Dianne Costa for US Congress
Z1100|Lisa Wilson-Foley for Congress
Z1100|Citizens for Josh Mandel
Z1100|Friends of Duane Sand 2012
|GOOOH FLORIDA                                     
|PAUL CHEHADE NATIONAL ELECTION COMMITTEE          
|FRIENDS OF GEORGE LEMIEUX                         
|MIKE MUNZING FOR CONGRESS                         
J1200|Downtown for Democracy
F2600|Private Equity Growth Capital Council
J1100|Conservative Campaign Cmte
J1200|House Majority PAC
|ELMER FUDD FOR GURLEY L MARTIN FOR PRESIDENT      
|MADAME PRESIDENT TITTLE                           
|FRIENDS OF IAN MURPHY                             
|FRIENDS OF HEATHER MCTEER                         
|JEFF BAREA 4 PREZ                                 
J2200|American Liberty & Nation PAC
|MARIA MONTANO CAMPAIGN COMMITTEE                  
|TRIDENT USA HEALTH SERVICES FEDERAL POLITICAL ACTI
|AKINYEMI AGBEDE FOR UNITED STATES SENATE 2012     
|MAHER FOR SENATE                                  
|WILLIAM BURNS FOR SENATE 2012                     
|KEYSTONE FOODS LLC POLITICAL ACTION COMMITTEE     
J1100|Immigration911
J2200|Michigan First PAC
G5270|Dynamis Inc
Z1200|Kaine for Virginia
|R W JENNA FOR CONGRESS                            
|JAMES SHINN FOR PRESIDENT PCC                     
H1130|Uropartners LLC
|CHILDREN'S HEALTH
|CAMPAIGN FINANCE REFORM PAC / CAMPAC              
X4000|Community Assns Institute PAC
Z1200|Mike Barkley for Congress Cmte
|JACKSON FOR VIRGINIA                              
G5250|TriNet Group
Z4200|Stabenow Victory Fund
|FRIENDS OF ROY MOORE                              
Z1300|Gary Johnson 2012
Z1100|Salmon for Congress
|CASE FOR HAWAII                                   
J2100|Make It In America PAC
|MARK B GRAHAM FOR PRESIDENT 2012                  
|FRIENDS OF JOHN REVELIS FOR PRESIDENT             
|RONALD DAVID JONES FOR PRESIDENT 2012             
Z1100|Ron Paul Presidential Campaign Cmte
Z1200|Joanne Dowdell for Congress
Z1100|Ann Wagner for Congress
J1200|Priorities USA Action
J2200|Tomorrow Is Meaningful
|HAROLD HEARD FOR PRESIDENT 2012                   
J2200|HPAC
E1000|US Transportation Energy & Technology Alliance
Z1200|Schneider for Congress
|CASTLE FOR NEW JERSEY                             
Z1100|Kirk Adams for Congress
|DRAFT ALLEN WEST FOR PRESIDENT 2012               
Z4100|Denham Victory Fund
Z1100|Rick Santorum for President
Z1300|Hecht for Congress
Z1100|Friends of Herman Cain
Z1100|Rand Paul for US Senate 2016
|PIRTLE FOR CONGRESS COMMITTEE                     
|KILGORE COMMITTEE                                 
Z1200|Jun Choi for Congress
|CUBA PROPERTY RIGHTS PAC INC                      
|ANYONEELSE2012PAC                                 
|WEPAV POLITICAL ACTION COMMITTEE                  
|J. H. FLETCHER & CO. POLITICAL ACTION COMMITTEE   
|DOUGLAS MCKEE FOR US SENATE                       
E1160|Marathon Petroleum
J2200|Help Unite Republicans Today PAC
J1100|Republican Super PAC
|JOHN DOUGLASS FOR CONGRESS                        
J1100|Freedom Frontier Action Network                   
|RICK WILSON FOR US SENATE                         
J1100|Rushmore PAC
|HISPANIC REPUBLICANS OF TEXAS                     
Z1100|Newt 2012
J1100|Conservative Action Fund
Z1200|Friends of Tarryl Clark 2012
Z5200|San Benito County Dem Central Cmte
Z4200|Minnesota Senate Victory Cmte 2012
|
|NEW AMERICAN CITY INC                             
|GULF COAST BANK & TRUST WAVE PAC                  
JE300|American Landscape PAC
|MARSHALL PLAN PAC                                 
Z1200|Donovan for Congress
|NEW YORK STATE HIGHER EDUCATION - PAC             
|CAMPAIGN CLUB                                     
J1200|Democratic Headquarters of the Desert
|JAMES LAW FOR CONGRESS                            
|BEAT OBAMA POLITICAL ACTION COMMITTEE             
|DRAFT ALLEN WEST                                  
F1100|Texas Capital Bank
E1140|Enterprise Products Partners
Z1100|Amodei for Nevada
|TODD FOREMAN CONGRESS 2012                        
|FRIENDS OF JOHN ABARR                             
Z1200|Setti Warren for Senate
T3100|Old Dominion Freight Line
Z1100|John Stacy for Texas
|ACADIA HEALTHCARE COMPANY INC FEDPAC              
|CITIZENS PROTEST NON PROFIT INC                   
|GOOD GENE EDWARD SCOTT II'S BOBO AND SCOTT'S FAMIL
|DC LGBT FOR SECOND TERM                           
|FRIENDS OF JOSEF VERNON HODGKINS FOR CONGRESS     
|SMALL BUSINESS POLITICAL ALLIANCE POLITICAL ACTION
J2100|Lobo PAC
|PRATTAS FOR PRESIDENT                             
Z1100|Rothfus for Congress
J2500|CoryPAC
Z4100|Womack Majority Fund
|EUGENE ROSELL HUNT JR                             
|WILLIAM GRAVES FOR CONGRESS                       
Z1100|Coffman for Congress
|BOB EVANS 4 CONGRESS                              
J2200|YoPAC
|MANNIK AND SMITH GROUP INC PAC; THE AKA MSG PAC   
Z1200|Vargas for Congress
|SOPHIA THE LOGOS                                  
J2200|Constitutional Conservatives Fund
Z1200|Tulsi for Hawaii
Z1200|Wenona for Arizona
J1100|Our Voice PAC
J1100|Citizens United Super PAC
|TURN RIGHT USA                                    
Z1200|Lane for Congress Cmte
|FEAGLE FOR CONGRESS                               
|TRUE SONS OF LIBERTY                              
Z1100|Bachmann for President
H5300|Universal Technical Institute
|CAMPAIGN GRISKIE                                  
|AMERICAN VOICES                                   
J2200|Roll On Columbia
|CHARLOTTEPAC                                      
J2200|Defending America's Values Everywhere
Z1100|Grantham for Congress
|BYERLEY FOR PRESIDENT COMMITTEE 2012              
|JIMMIE MOORE FOR CONGRESS                         
|KENNETH CORN EXPLORATORY COMMITTEE                
Z4100|Jeb Hensarling Victory Fund
J2200|Grass Roots Initiative to Maintain Our Majority
|JOSHUA GENERATION-POLITICAL ACTION COMM; THE      
|HARDCASTLE PRESIDENTIAL COMMITTEE                 
|DAVE MONTGOMERY FOR PRESIDENT                     
|SEND TIM TO CONGRESS                              
Z1100|Wenstrup for Congress
|FRIENDSOFCRAIGENNIS                               
|STRATEGY PAC                                      
Z1200|Hall for Congress Exploratory Cmte
|DALE BRUEGGEMANN FOR CONGRESS                     
|HUNSICKER FOR CONGRESS                            
F2100|Depository Trust & Clearing Corp
|JOHN SCHIESS FOR US SENATE                        
Z1200|Castro for Congress
|LEON COUNTY REPUBLICAN EXECUTIVE COMMITTEE        
|UNITED NOW                                        
Z1200|Jeff Anderson for Minnesota
|COMMITTEE TO KALIKO CASTILLE FOR CONGRESS         
|JIM CRONE FOR CONGRESS                            
H4400|Prime Therapeutics
|PAUL SIMS FOR PRESIDENT                           
Z1100|Roger Williams for US Congress Cmte
|DAVID ROBT FREY                                   
H3000|Private Care Assn
Z1200|Alan Lowenthal for Congress
|MCCOTTER 2012                                     
|RESTORING PROSPERITY FUND                         
|HARRISON LEONARD FOR CONGRESS                     
Z1100|Mullin for Congress
J8000|Patriots for a Better America
J2200|Truth Is Markets Work Fund
|KENT L WILLIAMS FOR PRESIDENT                     
|FREEDOM BORN FUND                                 
G5200|Professional Service Industries
|REAL JOB PRODUCERS FOR AMERICA                    
Z1200|Friends of Cheri Bustos
|IHEARTMEDIA
Z1200|Duckworth for Congress
Z1200|Mark Takano for Congress
|DAVID HERNANDEZ FOR CONGRESS 2012                 
C5130|Palantir Technologies
J9000|Trail PAC
|AMERICAN CITIZENS OF MODEST MEANS A COMM          
|JOHN GREEN FERGUSON FOR USA PRESIDENT 2016        
J1200|Dean Democratic Club Of Silicon Valley
|TAMI STAINFIELD FOR PRESIDENT                     
J1100|Government Integrity Fund Action Network
Z1200|Tony Cardenas for Congress
Z1100|Deb Fischer for US Senate
J2100|Commonwealth PAC
|BTS PAC                                           
J1100|FreedomWorks for America
J7600|Animal Protection Voters
|RICH BECKER FOR CONGRESS                          
Z1200|Nolan for Congress Volunteer Cmte
Z1200|David Weprin for Congress
Z1100|Mitchum for Congress
Z1200|Sharon Sund for Congress
|COMMITTEE TO ELECT LEAH LAX                       
Z4100|Ribble Responsible Government Cmte
Z1100|George Holding for Congress
J9000|Fair Judiciary PAC
|FRIENDS OF ERIC REYES                             
|DONNA GLISMAN FOR US SENATE                       
Z4100|Bill Shuster Victory Cmte
J1100|Revolution PAC
K2000|Strategic Public Partners
Z1100|Dewhurst for Texas
Z1200|Lee Rogers for Congress
Z1100|Valadao for Congress
T3000|Truck Renting & Leasing Assn
|CITIZENS FOR A NEW WHITE HOUSE TENANT             
|ENGSTRAND FOR CONGRESS DIST 36-TX                 
Z1200|Titus for Congress
|ANDREW HUGHES FOR CONGRESS                        
J1100|Keep Conservatives United
|CITIZENS FOR AMERICAN PROSPERITY                  
Z1200|John W Ewing Jr for US Congress
|DEON LONG FOR SENATE 2012                         
|AMERICAN INDEPENDENT ENERGY PAC                   
C5110|Cree Inc
|NO NEED TO DELVE: HOFF FOR PRESIDENT IN TWELVE    
Z1300|David Jon Sponheim for President
|JOE CHOW FOR U.S. CONGRESS                        
J2200|VICKY PAC                                         
|MULLEN FOR CONGRESS
|ALYSON HUBER CONGRESSIONAL EXPLORATORY COMMITTEE  
|AARON LEON AMMANN FOR PRESIDENT                   
|COMMITTEE TO ELECT MAX RIEKSE                     
J1100|Leadership Connecticut PAC
Z1200|Friends of Dan Kildee
Z1100|Keadle for Congress 2012
Z1100|Cotton for Senate
J2200|DIANE PAC
|FFP PAC                                           
|Bradley
J2200|Reclaim America PAC
E1500|Efficient America PAC
|FRIENDS OF DAVID FOR CONGRESS                     
Z1100|Friends of Gary Delong
|SILVIA STAGG FOR PRESIDENT CAMPAIGN COMMITTEE     
|DAVID CHRISTIAN FOR U S SENATE                    
|WILKES FOR CONGRESS                               
J1100|Madison PAC for Constitutional Limited Government
|ANTHONY PROWELL FOR CONGRESS                      
Z1200|Williamson for U S Congress
Z1100|Friends of Susan Brooks
|DOC ADAMS FOR PRESIDENT                           
|TEXAS ASSOCIATION OF NEUROLOGICAL SURGEONS POLITIC
J2100|Who Dat PAC
|HARRY BRAUN FOR PRESIDENT                         
Z5200|Rock Island Cnty Democratic Central Cmte
F2100|RGM Advisors
|DARRYL LEON JACKSON FOR SENATE                    
|2012 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC 
Z1200|Bonamici for Congress
|CONCORD 51 POLITICAL ACTION COMMITTEE INC.        
|STACEY LAWSON FOR CONGRESS                        
Z1100|Dr Pam Barlow for Congress Cmte
|AMERICAN LEGACY ALLIANCE                          
J7500|California Armenian American Democrats
Z1100|RickPerry.org
|VOTE KARLA ROMERO                                 
J1100|Joe PAC
|KHIZAR JAFRI FOR CONGRESS                         
R|COMMITTEE TO ELECT CHRIS PEDERSEN
J2500|Restoring America
|FRIENDS OF CATHY JOHNSON PENDLETON                
Z1100|Barry for Congress
Z4200|Steve Israel Victory Fund
|R BENEDICT MAYERS FOR PRESIDENT COMMITTEE         
|LIGHTHOUSE PAC                                    
J2200|Wells PAC
|RICETOWN ROYAL REPUBLIC                           
Z1200|Elizabeth for Massachusetts
|FRIENDS OF CHERILYN EAGAR                         
Z1200|Timothy Murphy for Congress
F1000|American Mid-Sized Banks
|GEORGE RHODES FOR PRESIDENT                       
|BUSTAMANTE FOR CONGRESS                           
|OUR DESTINY PAC                                   
M2200|Alcoa Inc
G6700|Seaworld Parks & Entertainment
Z1200|Beto O'Rourke for Congress
Z1100|Joe Kaufman for Congress
|BILL MCCUNE DEMOCRAT FOR U.S. CONGRESS            
|MEN AGAINST PROSTITUTION AND TRAFFICKING          
Z1200|Friends of Michelle
|WHITE HART PAC/IEP                                
Z4100|Upton Victory Cmte
|JOE KOPSICK FOR CONGRESS                          
|CITIZENS TO ELECT FREDERICK COLLINS               
|WILDMAN FOR PRESIDENT COMMITTEE                   
Z1100|Friends of Mark Neumann
F1100|TD Bank USA
J1200|Unity9 PAC
J2200|Support to Ensure Victory Everywhere PAC
|RON MCNEIL FOR US SENATE                          
|RALPH PRUYN FOR CONGRESS                          
|HANSEN FOR AMERICA                                
|CODY ROBERT JUDY FOR PRESIDENT 2012 U S C ELIGIBIL
|JASON BUCK FOR CONGRESS                           
Z1100|David Rouzer for Congress
|Padgett
J1200|Voices for Progress
|COMMITTEE TO ELECT ANDY CAFFREY TO CONGRESS       
|COMMITTEE TO ELECT RICH EVANS                     
|ROBERT JORDAN FOR PRESIDENT                       
|LANCE ENDERLE FOR CONGRESS                        
Z5200|Tehama County Democratic Central Cmte
|GREG AGUILAR FOR CONGRESS                         
Z1200|Hannemann for Congress
J1200|East Bay Young Democrats
Z4100|Team Graves
|MICHAEL SLOAN FOR PRESIDENT                       
Z1200|Friends of Pete Gallego
|AYCOCK FOR CONGRESS                               
Z1200|Barbara Mallory Caraway for Congress
Z1100|Collins for Congress
Z1200|Corbett for Congress
|MICHIGAN'S FUTURE PAC                             
|BRITTON FOR CONGRESS                              
Z1200|Mark Pocan for Congress
J2200|Conservatives Restoring Excellence
F4500|NY State Assn for Affordable Housing
Z1100|Weber for Congress
Z1200|Courtney for Congress 2012
Z1200|Swalwell for Congress
Z1100|Felicia Harris for Congress
M8000|Unifi Inc
J1200|Texans for America's Future
Z1100|Friends of Jim Bridenstine
J7300|Equality Hawaii Action Fund
|ARTS PAC                                          
|GOLD RUSH ENTITLEMENTS COMMITTEE                  
E1120|WPX Energy
Z1200|Gloria Negrete McLeod for Congress
|LARRY MARVIN FOR US SENATE                        
Z1200|Dr Raul Ruiz for Congress
J2200|Marketplace Ideas & Conserv Knowledge
|FRIENDS OF PETE RIEHM                             
|NAMMO TALLEY INC EMPLOYEES SECURING THE FUTURE PAC
|50 STATE STRATEGY                                 
|CAUSEPAC                                          
|RCJPAC                                            
Z1200|Ruben Kihuen for Congress
B5000|National Industrial Sand Assn
A1600|US Peanut PAC
|ECONOMIC STRATEGY GROUP                           
|BROWARD REPUBLICAN EXECUTIVE COMMITTEE            
J9000|Campaign for Primary Accountability
|COMMITTEE TO ELECT WILLIAM A FAULK JR FOR CONGRESS
C6200|Facebook Inc
E1140|Direct Energy Inc
|TURNER FOR PRESIDENT                              
|GWEN DIAKOS COMMITTEE TO ELECT FOR US SENATE      
|DOYLE FOR WISCONSIN                               
M2300|Woodward Inc
|LIFE CAUSE                                        
|JOSE HERNANDEZ FOR CONGRESS                       
F3200|Blue Cross/Blue Shield of Tennessee
|COMMITTEE TO ELECT MITCH FEIKES 2012              
|COMMITTEE TO ELECT AURORA LOPEZ FOR PRESIDENT     
|STEPHEN SANDSTROM FOR CONGRESS                    
Z1200|Jeffries for Congress
J1100|Strong Utah
Z1100|Meadows for Congress
Z1200|Scott Peters for Congress
J1100|Upper Hand Fund
|BETTE GRANDE FOR CONGRESS                         
Z1200|Ro for Congress
|PARENTS FOR A BRIGHTER FUTURE                     
H1130|North Carolina Gastroenterology PAC
|FITZGERALD FOR US SENATE                          
|LARRYYOUNGBLOOD4CONGRESS                          
|IOWA CONGRESSIONAL MAJORITY FUND; THE             
JE300|Defenders of Wildlife Action Fund
|VOTERS FOR COMMON SENSE                           
|Red
T1200|Virgin Galactic
Y0000|LA Forward
|COMMITTEE TO ELECT ANNA M TRUJILLO TO CONGRESS; TH
|PETZEL FOR CONGRESS                               
|KELCEY WILSON FOR PRESIDENT                       
J2400|Jan PAC
J2200|Better Leadership - Better America
Z1200|Citizens for Ray Lodato
A4000|Crop Insurance Professionals Assn
|GAIL DIGNAM FOR CONGRESS EXPLORATORY COMMITTEE    
Z1200|Committee to Elect Karin L Swanson for President
R|AVERAGE JOE FOR PRESIDENT JOE STORY
J1200|DGA Action
|DECKER FOR CONGRESS                               
|POOR PEOPLES PAC
|WESTERN PAC                                       
A1500|Texas Corn Producers Assn
|COMMITTEE TO ELECT LAURA MOLINA                   
J1200|Rethink Pac
